,Product,Category,Ingredients
61,Sally B's Skin Yummies Lip Assist Conditioning Treatment Rating,Lip Balm,Ricinus Communis (Castor) Seed Oil*  Persea Gratissima (Avocado) Oil*  Macadamia Ternifolia (Macadamia Nut) Seed Oil*  Theobroma Cacao (Cocoa) Seed Butter*  Butyrospermum Parkii (Shea Butter) Fruit*  Hydrogenated Olive Oil (and) Olive Oil (Olea Europaea) (and) Olive Oil Unsaponifiables  Copernicia Cerifera (Carnauba) Wax*  Lecithin*  Tocopherols (soy-based  Non GMO)  Vigna Aconitifolia Seed Extract  Glycerin  Helianthus Annuus (Sunflower) Seed Oil  Centella Asiatica Extract*  Vanilla Planifolia Extract
62,"Lowen's Natural Skin Care Lip Balm, Ice Ice Baby ... Vanilla Rating",Lip Balm,Alberta Bee's Wax  Alberta Organic Canola Oil  Cetyl Alcohol  Carthamus Tinctorius (Safflower) Oleosomes  Vegetable Glycerin  Fair Trade Organic Butyrosperimum Parkii (Shea) Butter  Menthol  Rosmarinus Officinalis  (Rosemary) Leaf Oil  Hyaluronic Acid  Vanilla Planifolia Fruit
63,"Each & Every Deodorant, Cedar & Vanilla Rating",Antiperspirant/Deodorant,Caprylic/capric Triglyceride  Tapioca Starch  Ozokerite  Magnesium Hydroxide  Gamma-Nonalactone  Piroctone Olamine  Magnesium Carbonate Hydroxide  Juniperus Virginiana Oil  Vanilla Planifolia Fruit Extract
64,"Lowen's Natural Skin Care Lip Balm, Salted Caramel Coffee Bean Rating",Lip Balm,ABC Bees Bee's Wax (Calgary AB)  Highwood Crossing Organic Canola Oil (High River AB)  Cetyl Alcohol  Botaneco Carthamus Tinctorius (Safflower) Oleosomes (Calgary AB)  Vegetable Glycerin  Baraka Fair Trade Organic Butyrosperimum Parkii (Shea) Butter (Ghana)  Menthol  Rosmarinus Officinalis (Rosemary) Leaf Oil  Hyaluronic Acid  Coffee Arabica (Coffee) Seed Oil (Calgary AB)  Caramel  Vancouver Island Salt Sodium Chloride (Cobble Hill BC)
65,"ATTITUDE Little Leaves Hand Sanitizer, Mango Rating",Hand Sanitizer,Active ingredient: Ethyl alcohol (72%)  Water  glycerin  vaccinium angustifolium (blueberry) leaf extract  dimethyl heptenal  gamma-undecalactone  pentadecalactone.
66,Qet Botanicals Forest Fresh Dry Putty Deodorant Rating,Antiperspirant/Deodorant,Maranta Arundinacea (Arrowroot Root) Powder*  Cocos Nucifera (Coconut) Oil  Vitis Vinifera (Grape) Seed Oil*  Butyrospermum Parkii (Raw  Unrefined Shea Butter) Fruit*  Sodium Bicarbonate (Baking Soda)  Lavandula Angustifolia (Lavender) Flower Oil*  Santalum Album (Australian Sandalwood) Oil*  Tocopherol (Non-GMO Vitamin E)  Boswellia Carterii (Frankincense) Oil  Vanilla Planifolia (Madagascar Vanilla) Bean Oil*. *Organic Ingredient
67,Biossance Squalane + Rose Vegan Lip Balm Rating,Lip Balm,Diisostearyl Malate  Capryloyl Glycerin/Sebacic Acid Copolymer  Bis-Diglyceryl Polyacyladipate-2  Glycerin  Hydroxystearic/Linoleic/Oleic Polyglycerides  Myristic/Palmitic/Stearic/Ricinoleic/Eicosanedioic Glycerides  Ricinus Communis (Castor) Seed Oil  Squalane  Water/Aqua/Eau  Rosa Damascena Flower Wax  Ceramide NP  Hydrolyzed Jojoba Esters  Vitis Vinifera (Grape) Seed Oil  Undaria Pinnatifida Extract  Caprylic/Capric Triglyceride  Tetrahexyldecyl Ascorbate  Sodium Hyaluronate  Jojoba Esters  Tocopherol  Hydrogenated Castor Oil  Glyceryl Caprylate  Glyceryl Undecylenate  Dextrin Palmitate
68,"Honest Sanitizing Alcohol Wipes, Lavender Field Rating",Hand Sanitizer,Active Ingredient: Ethyl Alcohol 65%  Inactive Ingredients: Aloe Barbadensis Leaf Extract  Glycerin  Lavandula Hybrida Oil  Linalool  Mentha Arvensis Leaf Oil  Triethyl Citrate  Water
69,"Think Magnesium Deodorant, Coconut & Pineapple Rating",Antiperspirant/Deodorant,Caprylic / Capric Triglyercide  Zea Mays (Corn Starch)*  Euphorbia Cerifera  Magnesium Hydroxide  Cocos Nucifera (Coconut Oil)*  Lauryl Laurate  Buytrospermum Parkii (Shea) Butter*  Jojoba Esters  Triethyl Citrate  Tocopherol  Gamma-Nonalactone  Allyl Heptanoate  Allyl Caproate  Citric Acid
70,Makes 3 Organics Organic Chocolate Peppermint Lip Balm Rating,Lip Balm,Organic Cocos Nucifera (Coconut) Oil  Organic Theobroma Cacao (Cocoa Butter)  Organic Cera Alba (Beeswax)  Organic Cocoa Powder  Organic Mentha Piperita (Peppermint) Essential Oil
71,"Little Kingdom Antibacterial Foaming Hand Wash, Fragrance Free Rating",Baby Soap,WATER  BUTYLENE GLYCOL  SODIUM COCOYL GLUTAMATE  COCO-BETAINE  GLYCOSYL TREHALOSE  HYDROGENATED STARCH HYDROLYSATE  INULIN  ALPHA-GLUCAN OLIGOSACCHARIDE  O-CYMEN-5-OL  SODIUM BENZOATE  POTASSIUM SORBATE  CITRIC ACID  TETRASODIUM EDTA.
72,AreoVeda Mom & Baby Lip Balm Rating,Lip Balm,Helianthus Annuus (Sunflower) Seed Oil  Helianthus Annuus (Sunflower) Seed Cera  Prunus Amygdalus Dulcis (Sweet Almond) Oil  Isoamyl Laurate  Cannabis Sativa (Hemp) Seed Oil  Butyrospermum Parkii (Shea) Butter  Euphorbia Cerifera (Candelilla) Wax  Caprylic/Capric Triglyceride  Mangifera Indica (Mango) Seed Butter  Rosa Centifolia (Cabbage Rose) Flower Wax  Ghee  Sorbitan Isostearate  Polyglyceryl-3-Polyricinoleate  Stearic Acid  Avena Sativa (Oats) Kernel Flour  Astrocaryum Vulgare Kernel Oil  Tocopherol  Alkanna Tinctoria (Alkanet) Root Extract  Tocotrienol  Tocopherol  Medium Chain Triglycerides  Monoglycerides  Diglycerides  Squalene  Sterol  Sodium Hyaluronate
